epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4857,0.73477,1.87644,1.04186,0.73618,0.23587,0.33432,0.20285,1.21641,1.93362,1.59802,0.000301317,0.000301317,0.000301317
2,63.7859,0.71322,1.12852,1.01391,0.66442,0.36717,0.4064,0.26732,1.16623,1.72112,1.62712,0.000592351,0.000592351,0.000592351
3,88.9343,0.70376,1.03222,1.01313,0.61899,0.43411,0.45678,0.30004,1.25957,1.66586,1.65034,0.000871387,0.000871387,0.000871387
4,113.616,0.67837,0.87219,0.99204,0.5904,0.47807,0.53118,0.40111,1.24848,1.64833,1.63667,0.000855005,0.000855005,0.000855005
5,137.855,0.66334,0.83305,0.99123,0.45278,0.67669,0.50594,0.34195,1.29444,1.49083,1.7672,0.000837007,0.000837007,0.000837007
6,162.229,0.6539,0.79073,0.98671,0.78479,0.43677,0.4965,0.33247,1.26147,1.46953,1.55399,0.000819009,0.000819009,0.000819009
7,187.186,0.63461,0.74347,0.97705,0.69905,0.51071,0.52676,0.37741,1.12567,1.19007,1.5957,0.000801011,0.000801011,0.000801011
8,211.582,0.61668,0.70044,0.96666,0.67198,0.45911,0.49348,0.33908,1.27594,1.45525,1.6126,0.000783013,0.000783013,0.000783013
9,235.747,0.61121,0.65816,0.95653,0.71227,0.42112,0.61357,0.45064,1.11262,1.34298,1.47675,0.000765014,0.000765014,0.000765014
10,264.519,0.60718,0.64466,0.95712,0.72901,0.46784,0.55749,0.38097,1.11999,1.15465,1.45969,0.000747016,0.000747016,0.000747016
11,289.927,0.59828,0.63582,0.95785,0.74231,0.4892,0.50356,0.36614,1.14723,1.27247,1.49247,0.000729018,0.000729018,0.000729018
12,314.475,0.57915,0.5887,0.93954,0.78162,0.43943,0.64778,0.4839,1.14874,1.22656,1.50699,0.00071102,0.00071102,0.00071102
13,339.933,0.56422,0.57622,0.9319,0.75777,0.49606,0.53768,0.38689,1.07703,1.28003,1.48218,0.000693022,0.000693022,0.000693022
14,364.958,0.57385,0.55711,0.9395,0.74504,0.40639,0.50783,0.3758,1.09051,1.48043,1.44851,0.000675023,0.000675023,0.000675023
15,389.328,0.55571,0.54078,0.93457,0.7621,0.46233,0.53207,0.39265,1.07356,1.27485,1.42325,0.000657025,0.000657025,0.000657025
16,414.557,0.55599,0.54136,0.93352,0.69878,0.51031,0.51877,0.38544,1.07345,1.17751,1.43616,0.000639027,0.000639027,0.000639027
17,440.576,0.54207,0.50243,0.9283,0.72222,0.49585,0.497,0.34993,1.17098,1.35416,1.51865,0.000621029,0.000621029,0.000621029
18,468.802,0.53987,0.51452,0.92581,0.81058,0.43152,0.53132,0.3869,1.06657,1.14878,1.43929,0.000603031,0.000603031,0.000603031
19,496.815,0.5362,0.49359,0.92231,0.78714,0.41984,0.54196,0.39913,1.08472,1.29653,1.43431,0.000585032,0.000585032,0.000585032
20,524.404,0.53628,0.47731,0.91658,0.77873,0.46746,0.57739,0.40676,1.08266,1.40743,1.46839,0.000567034,0.000567034,0.000567034
21,551.745,0.54064,0.47248,0.92518,0.61197,0.662,0.78541,0.56807,1.11347,1.2216,1.5023,0.000549036,0.000549036,0.000549036
22,579.745,0.52548,0.46451,0.91765,0.43821,0.82539,0.65415,0.48876,1.12899,1.27341,1.52716,0.000531038,0.000531038,0.000531038
23,607.746,0.52626,0.47678,0.92074,0.72979,0.47527,0.51286,0.37162,1.11138,1.48554,1.46372,0.00051304,0.00051304,0.00051304
24,635.602,0.51472,0.4579,0.91688,0.66289,0.63214,0.66869,0.48808,1.07566,1.40111,1.48065,0.000495041,0.000495041,0.000495041
